Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,1205.0,1215.0,1145.0,1150.0,920.3106689453125,7374387
2022-01-04,1165.0,1175.0,1145.0,1165.0,932.3148193359375,6688764
2022-01-05,1170.0,1190.0,1150.0,1175.0,940.3175048828125,7020406
2022-01-06,1150.0,1155.0,1110.0,1135.0,908.3067016601562,8129690
2022-01-07,1130.0,1145.0,1090.0,1100.0,880.2972412109375,8258414
2022-01-10,1080.0,1095.0,1070.0,1095.0,876.2958984375,7069419
2022-01-11,1090.0,1095.0,1065.0,1080.0,864.2918701171875,4406422
2022-01-12,1095.0,1095.0,1070.0,1085.0,868.293212890625,3016339
2022-01-13,1090.0,1110.0,1085.0,1100.0,880.2972412109375,5047874
2022-01-14,1090.0,1090.0,1055.0,1065.0,852.2877807617188,5581491
2022-01-17,1075.0,1120.0,1070.0,1115.0,892.30126953125,5457933
2022-01-18,1110.0,1145.0,1105.0,1105.0,884.298583984375,4858889
2022-01-19,1095.0,1120.0,1090.0,1100.0,880.2972412109375,4742173
2022-01-20,1105.0,1110.0,1070.0,1090.0,872.2945556640625,5235983
2022-01-21,1060.0,1080.0,1055.0,1070.0,856.2891235351562,5844178
2022-01-24,1060.0,1090.0,1050.0,1090.0,872.2945556640625,5048568
2022-01-25,1080.0,1090.0,1070.0,1085.0,868.293212890625,4466066
2022-01-26,1070.0,1095.0,1070.0,1075.0,860.29052734375,5129604
2022-02-07,1130.0,1130.0,1075.0,1100.0,880.2972412109375,18787872
2022-02-08,1125.0,1125.0,1090.0,1095.0,876.2958984375,8746495
2022-02-09,1125.0,1135.0,1095.0,1130.0,904.3053588867188,7950712
2022-02-10,1140.0,1165.0,1125.0,1160.0,928.3134765625,8574392
2022-02-11,1150.0,1170.0,1145.0,1150.0,920.3106689453125,4989740
2022-02-14,1120.0,1125.0,1100.0,1105.0,884.298583984375,5433143
2022-02-15,1110.0,1120.0,1090.0,1100.0,880.2972412109375,3248639
2022-02-16,1130.0,1130.0,1115.0,1130.0,904.3053588867188,2903544
2022-02-17,1130.0,1135.0,1120.0,1130.0,904.3053588867188,3007009
2022-02-18,1115.0,1125.0,1105.0,1120.0,896.3026733398438,2500405
2022-02-21,1115.0,1135.0,1110.0,1130.0,904.3053588867188,3088278
2022-02-22,1115.0,1120.0,1090.0,1110.0,888.2999267578125,4745273
2022-02-23,1110.0,1120.0,1100.0,1120.0,896.3026733398438,3540429
2022-02-24,1095.0,1105.0,1055.0,1060.0,848.2864379882812,7867454
2022-02-25,1075.0,1095.0,1060.0,1085.0,868.293212890625,7091202
2022-03-01,1105.0,1120.0,1095.0,1100.0,880.2972412109375,5420606
2022-03-02,1105.0,1105.0,1070.0,1080.0,864.2918701171875,3632197
2022-03-03,1085.0,1100.0,1065.0,1080.0,864.2918701171875,3799148
2022-03-04,1060.0,1060.0,1025.0,1025.0,820.2769775390625,6254448
2022-03-07,985.0,995.0,970.0,972.0,777.8626708984375,10685986
2022-03-08,945.0,986.0,943.0,963.0,770.6602172851562,7230258
2022-03-09,971.0,976.0,956.0,966.0,773.06103515625,5981552
2022-03-10,990.0,1005.0,982.0,995.0,796.2688598632812,5820879
2022-03-11,1000.0,1000.0,961.0,963.0,770.6602172851562,5586320
2022-03-14,973.0,975.0,934.0,944.0,755.455078125,8517631
2022-03-15,933.0,935.0,901.0,904.0,723.4442749023438,9349160
2022-03-16,930.0,931.0,900.0,907.0,725.8450927734375,7483037
2022-03-17,951.0,978.0,949.0,968.0,774.6615600585938,9344377
2022-03-18,971.0,974.0,955.0,969.0,775.4618530273438,6554769
2022-03-21,985.0,985.0,977.0,978.0,782.664306640625,3910421
2022-03-22,971.0,980.0,967.0,975.0,780.2634887695312,3925166
2022-03-23,988.0,995.0,976.0,977.0,781.864013671875,4105013
2022-03-24,978.0,978.0,967.0,972.0,777.8626708984375,4654086
2022-03-25,975.0,976.0,965.0,971.0,777.0623779296875,3500490
2022-03-28,950.0,964.0,946.0,964.0,771.4605102539062,2654466
2022-03-29,931.0,951.0,903.0,912.0,729.846435546875,12940484
2022-03-30,912.0,923.0,903.0,915.0,732.2471923828125,11058276
2022-03-31,900.0,919.0,900.0,905.0,724.2445678710938,8375072
2022-04-01,900.0,904.0,893.0,900.0,720.2432250976562,9228783
